node,community,weighted_degree,betweenness
user_19331,0,116.0,0.0009248226047677186
user_30952,6,53.0,0.00027504176830866345
user_31898,1,11.0,0.0
user_8787,3,12.0,7.441140359976583e-05
user_16914,1,54.0,0.00016321083497250138
user_23011,1,10.0,1.1016640622895532e-05
user_12352,2,155.0,0.0014757281880933679
user_15237,1,12.0,0.0
user_32970,4,69.0,0.0010055208893585792
user_4069,5,14.0,7.671672105045983e-06
user_5670,1,6.0,0.0
user_14726,1,8.0,0.0
user_31662,1,8.0,0.0
user_3791,3,34.0,0.0007905228669373974
user_18116,4,254.0,0.001419494308583488
user_24489,1,62.0,9.194296548239146e-05
user_12386,7,14.0,5.4356656949398316e-05
user_15135,7,119.0,0.0012917968563184513
user_13492,1,20.0,3.264126674896668e-05
user_13603,1,28.0,1.3882590396411767e-05
user_14871,3,19.0,2.1151056584866778e-05
user_19134,1,11.0,0.0
